design_id,operational_id,connection_count,block_creation_interval,maximum_block_size,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,fraction_of_attackers,relative_transaction_load,number_of_attackers,transaction_arrival_rate
D021,O023,3,997,1.249089371,410,0.214451437,0.12789836,0.094002538,0.083652687,0.876090399,34,87.60903986
D021,O047,3,997,1.249089371,32,0.457593053,0.357426009,0.365235909,0.123974314,0.729886159,4,72.98861593
D021,O067,3,997,1.249089371,60,0.359928689,0.02076874,0.174232425,0.096510536,0.648987034,6,64.89870338
D021,O074,3,997,1.249089371,36,0.042568944,0.004280635,0.087293441,0.071484542,0.86728622,3,86.728622
D021,O092,3,997,1.249089371,303,0.442706311,0.172267227,0.436491903,0.175667954,0.897895329,53,89.78953292
D021,O045,3,997,1.249089371,692,0.331104768,0.086465045,0.220042135,0.085965716,0.679206917,59,67.92069167
D021,O093,3,997,1.249089371,25,0.276275035,0.078153424,0.291384582,0.041239401,0.958605081,1,95.8605081
D021,O055,3,997,1.249089371,143,0.09821222,0.163666817,0.285033773,0.115819652,0.601558378,17,60.15583779
D077,O006,2,230,2.845107804,26,0.466438896,0.19990199,0.36047691,0.196321869,0.537345538,5,53.73455384
D077,O071,2,230,2.845107804,830,0.025772238,0.059916076,0.006124037,0.001567019,0.854259133,1,85.42591325
D077,O014,2,230,2.845107804,505,0.055050564,0.385744929,0.323573274,0.249191993,0.956197221,126,95.61972212
D077,O017,2,230,2.845107804,47,0.235947901,0.205558573,0.450421949,0.031413737,0.98550411,1,98.55041102
D077,O086,2,230,2.845107804,135,0.469888219,0.056365997,0.043821459,0.204201288,0.952586866,28,95.25868662
D077,O068,2,230,2.845107804,871,0.148525779,0.2389906,0.43126666,0.024847913,0.56330551,22,56.33055097
D077,O088,2,230,2.845107804,74,0.028069089,0.054085246,0.202673962,0.187139916,0.619616712,14,61.96167125
D077,O004,2,230,2.845107804,544,0.015441285,0.39993713,0.047767101,0.021638756,0.621494583,12,62.14945825
D077,O044,2,230,2.845107804,721,0.432376139,0.324925408,0.144007894,0.205765142,0.742867678,148,74.28676783
D077,O039,2,230,2.845107804,48,0.232718262,0.17994217,0.033136716,0.009267723,0.784320075,1,78.43200746
D077,O002,2,230,2.845107804,71,0.386957289,0.33590604,0.423756547,0.22899681,1.030814136,16,103.0814136
D077,O040,2,230,2.845107804,585,0.392959459,0.39457393,0.498815231,0.051359523,0.847757244,30,84.77572444
D077,O094,2,230,2.845107804,888,0.302089761,0.091469055,0.358945917,0.217188865,0.915650339,193,91.56503387
D077,O081,2,230,2.845107804,229,0.311863322,0.040757227,0.190953924,0.027397346,0.52059127,6,52.05912701
D077,O049,2,230,2.845107804,33,0.068127718,0.327197905,0.351458552,0.169586651,0.638016666,6,63.80166664
D077,O052,2,230,2.845107804,249,0.293109713,0.381495942,0.29384703,0.118940555,0.500330142,30,50.03301419
D077,O008,2,230,2.845107804,217,0.118365868,0.010264005,0.438577644,0.018412668,0.70421183,4,70.42118302
D077,O054,2,230,2.845107804,70,0.483939677,0.225369653,0.039302168,0.158400508,0.574845385,11,57.48453845
D077,O024,2,230,2.845107804,109,0.107543079,0.370185632,0.33107989,0.015416181,0.763088384,2,76.30883835
D077,O096,2,230,2.845107804,91,0.16170145,0.264353919,0.069555674,0.222330663,0.545005585,20,54.50055846
D077,O011,2,230,2.845107804,163,0.257766277,0.230369452,0.067376828,0.147107797,1.041013094,24,104.1013094
D077,O007,2,230,2.845107804,20,0.141130372,0.138764594,0.166622366,0.108042943,0.974703346,2,97.47033455
D077,O005,2,230,2.845107804,472,0.458927508,0.08115278,0.018055532,0.016407342,0.751825682,8,75.18256816
D077,O051,2,230,2.845107804,264,0.415458501,0.161179135,0.311726789,0.044329636,0.922834621,12,92.28346214
D077,O035,2,230,2.845107804,173,0.041159595,0.256897351,0.341435098,0.128323963,0.936656262,22,93.66562622
D077,O061,2,230,2.845107804,27,0.381805437,0.01616482,0.491613692,0.151708312,0.675221612,4,67.52216124
D077,O041,2,230,2.845107804,49,0.297735298,0.268205888,0.212580592,0.135363461,0.765018393,7,76.50183927
D077,O063,2,230,2.845107804,159,0.167777479,0.069957712,0.130372357,0.236705609,0.943907134,38,94.39071338
D077,O019,2,230,2.845107804,24,0.431629638,0.254066717,0.253740338,0.035040597,0.934568431,1,93.45684308
D077,O012,2,230,2.845107804,121,0.018977159,0.042108472,0.106166432,0.054886754,0.634587855,7,63.4587855
D077,O043,2,230,2.845107804,936,0.154267686,0.332919895,0.389161836,0.22532924,0.694797352,211,69.47973518
D077,O020,2,230,2.845107804,113,0.348269976,0.095285863,0.409466489,0.246401698,0.990902637,28,99.09026365
D077,O038,2,230,2.845107804,765,0.137328547,0.153890662,0.395745604,0.095819021,0.824092212,73,82.40922118
D077,O010,2,230,2.845107804,78,0.42428609,0.04657399,0.47291634,0.075109181,0.886241643,6,88.62416428
D077,O053,2,230,2.845107804,251,0.008437374,0.219704544,0.077608614,0.043406153,0.857828126,11,85.7828126
D077,O032,2,230,2.845107804,449,0.47407037,0.293964396,0.333868972,0.192141286,0.526716923,86,52.67169234
D077,O083,2,230,2.845107804,89,0.002629244,0.11891721,0.012340148,0.1423155,0.799263288,13,79.92632877
D077,O050,2,230,2.845107804,322,0.206052109,0.123509785,0.230258857,0.242031683,0.710466564,78,71.04665639
D077,O084,2,230,2.845107804,797,0.372992677,0.000386491,0.00152113,0.212119634,0.993396916,169,99.33969159
D077,O027,2,230,2.845107804,120,0.173792118,0.275390581,0.115990185,0.003126054,0.594400816,1,59.44008158
D077,O023,2,230,2.845107804,410,0.214451437,0.12789836,0.094002538,0.083652687,0.876090399,34,87.60903986
D077,O047,2,230,2.845107804,32,0.457593053,0.357426009,0.365235909,0.123974314,0.729886159,4,72.98861593
D077,O067,2,230,2.845107804,60,0.359928689,0.02076874,0.174232425,0.096510536,0.648987034,6,64.89870338
D077,O074,2,230,2.845107804,36,0.042568944,0.004280635,0.087293441,0.071484542,0.86728622,3,86.728622
D077,O092,2,230,2.845107804,303,0.442706311,0.172267227,0.436491903,0.175667954,0.897895329,53,89.78953292
D077,O045,2,230,2.845107804,692,0.331104768,0.086465045,0.220042135,0.085965716,0.679206917,59,67.92069167
D077,O093,2,230,2.845107804,25,0.276275035,0.078153424,0.291384582,0.041239401,0.958605081,1,95.8605081
D077,O055,2,230,2.845107804,143,0.09821222,0.163666817,0.285033773,0.115819652,0.601558378,17,60.15583779
D065,O006,3,404,0.482111277,26,0.466438896,0.19990199,0.36047691,0.196321869,0.537345538,5,53.73455384
D065,O071,3,404,0.482111277,830,0.025772238,0.059916076,0.006124037,0.001567019,0.854259133,1,85.42591325
D065,O014,3,404,0.482111277,505,0.055050564,0.385744929,0.323573274,0.249191993,0.956197221,126,95.61972212
D065,O017,3,404,0.482111277,47,0.235947901,0.205558573,0.450421949,0.031413737,0.98550411,1,98.55041102
D065,O086,3,404,0.482111277,135,0.469888219,0.056365997,0.043821459,0.204201288,0.952586866,28,95.25868662
D065,O068,3,404,0.482111277,871,0.148525779,0.2389906,0.43126666,0.024847913,0.56330551,22,56.33055097
D065,O088,3,404,0.482111277,74,0.028069089,0.054085246,0.202673962,0.187139916,0.619616712,14,61.96167125
D065,O004,3,404,0.482111277,544,0.015441285,0.39993713,0.047767101,0.021638756,0.621494583,12,62.14945825
D065,O044,3,404,0.482111277,721,0.432376139,0.324925408,0.144007894,0.205765142,0.742867678,148,74.28676783
D065,O039,3,404,0.482111277,48,0.232718262,0.17994217,0.033136716,0.009267723,0.784320075,1,78.43200746
D065,O002,3,404,0.482111277,71,0.386957289,0.33590604,0.423756547,0.22899681,1.030814136,16,103.0814136
D065,O040,3,404,0.482111277,585,0.392959459,0.39457393,0.498815231,0.051359523,0.847757244,30,84.77572444
D065,O094,3,404,0.482111277,888,0.302089761,0.091469055,0.358945917,0.217188865,0.915650339,193,91.56503387
D065,O081,3,404,0.482111277,229,0.311863322,0.040757227,0.190953924,0.027397346,0.52059127,6,52.05912701
D065,O049,3,404,0.482111277,33,0.068127718,0.327197905,0.351458552,0.169586651,0.638016666,6,63.80166664
D065,O052,3,404,0.482111277,249,0.293109713,0.381495942,0.29384703,0.118940555,0.500330142,30,50.03301419
D065,O008,3,404,0.482111277,217,0.118365868,0.010264005,0.438577644,0.018412668,0.70421183,4,70.42118302
D065,O054,3,404,0.482111277,70,0.483939677,0.225369653,0.039302168,0.158400508,0.574845385,11,57.48453845
D065,O024,3,404,0.482111277,109,0.107543079,0.370185632,0.33107989,0.015416181,0.763088384,2,76.30883835
D065,O096,3,404,0.482111277,91,0.16170145,0.264353919,0.069555674,0.222330663,0.545005585,20,54.50055846
D065,O011,3,404,0.482111277,163,0.257766277,0.230369452,0.067376828,0.147107797,1.041013094,24,104.1013094
D065,O007,3,404,0.482111277,20,0.141130372,0.138764594,0.166622366,0.108042943,0.974703346,2,97.47033455
D065,O005,3,404,0.482111277,472,0.458927508,0.08115278,0.018055532,0.016407342,0.751825682,8,75.18256816
D065,O051,3,404,0.482111277,264,0.415458501,0.161179135,0.311726789,0.044329636,0.922834621,12,92.28346214
D065,O035,3,404,0.482111277,173,0.041159595,0.256897351,0.341435098,0.128323963,0.936656262,22,93.66562622
D065,O061,3,404,0.482111277,27,0.381805437,0.01616482,0.491613692,0.151708312,0.675221612,4,67.52216124
D065,O041,3,404,0.482111277,49,0.297735298,0.268205888,0.212580592,0.135363461,0.765018393,7,76.50183927
D065,O063,3,404,0.482111277,159,0.167777479,0.069957712,0.130372357,0.236705609,0.943907134,38,94.39071338
D065,O019,3,404,0.482111277,24,0.431629638,0.254066717,0.253740338,0.035040597,0.934568431,1,93.45684308
D065,O012,3,404,0.482111277,121,0.018977159,0.042108472,0.106166432,0.054886754,0.634587855,7,63.4587855
D065,O043,3,404,0.482111277,936,0.154267686,0.332919895,0.389161836,0.22532924,0.694797352,211,69.47973518
D065,O020,3,404,0.482111277,113,0.348269976,0.095285863,0.409466489,0.246401698,0.990902637,28,99.09026365
D065,O038,3,404,0.482111277,765,0.137328547,0.153890662,0.395745604,0.095819021,0.824092212,73,82.40922118
D065,O010,3,404,0.482111277,78,0.42428609,0.04657399,0.47291634,0.075109181,0.886241643,6,88.62416428
D065,O053,3,404,0.482111277,251,0.008437374,0.219704544,0.077608614,0.043406153,0.857828126,11,85.7828126
D065,O032,3,404,0.482111277,449,0.47407037,0.293964396,0.333868972,0.192141286,0.526716923,86,52.67169234
D065,O083,3,404,0.482111277,89,0.002629244,0.11891721,0.012340148,0.1423155,0.799263288,13,79.92632877
D065,O050,3,404,0.482111277,322,0.206052109,0.123509785,0.230258857,0.242031683,0.710466564,78,71.04665639
D065,O084,3,404,0.482111277,797,0.372992677,0.000386491,0.00152113,0.212119634,0.993396916,169,99.33969159
D065,O027,3,404,0.482111277,120,0.173792118,0.275390581,0.115990185,0.003126054,0.594400816,1,59.44008158
D065,O023,3,404,0.482111277,410,0.214451437,0.12789836,0.094002538,0.083652687,0.876090399,34,87.60903986
D065,O047,3,404,0.482111277,32,0.457593053,0.357426009,0.365235909,0.123974314,0.729886159,4,72.98861593
D065,O067,3,404,0.482111277,60,0.359928689,0.02076874,0.174232425,0.096510536,0.648987034,6,64.89870338
D065,O074,3,404,0.482111277,36,0.042568944,0.004280635,0.087293441,0.071484542,0.86728622,3,86.728622
D065,O092,3,404,0.482111277,303,0.442706311,0.172267227,0.436491903,0.175667954,0.897895329,53,89.78953292
D065,O045,3,404,0.482111277,692,0.331104768,0.086465045,0.220042135,0.085965716,0.679206917,59,67.92069167
D065,O093,3,404,0.482111277,25,0.276275035,0.078153424,0.291384582,0.041239401,0.958605081,1,95.8605081
D065,O055,3,404,0.482111277,143,0.09821222,0.163666817,0.285033773,0.115819652,0.601558378,17,60.15583779
D053,O006,3,97,4.67155745,26,0.466438896,0.19990199,0.36047691,0.196321869,0.537345538,5,53.73455384
D053,O071,3,97,4.67155745,830,0.025772238,0.059916076,0.006124037,0.001567019,0.854259133,1,85.42591325
D053,O014,3,97,4.67155745,505,0.055050564,0.385744929,0.323573274,0.249191993,0.956197221,126,95.61972212
D053,O017,3,97,4.67155745,47,0.235947901,0.205558573,0.450421949,0.031413737,0.98550411,1,98.55041102
D053,O086,3,97,4.67155745,135,0.469888219,0.056365997,0.043821459,0.204201288,0.952586866,28,95.25868662
D053,O068,3,97,4.67155745,871,0.148525779,0.2389906,0.43126666,0.024847913,0.56330551,22,56.33055097
D053,O088,3,97,4.67155745,74,0.028069089,0.054085246,0.202673962,0.187139916,0.619616712,14,61.96167125
D053,O004,3,97,4.67155745,544,0.015441285,0.39993713,0.047767101,0.021638756,0.621494583,12,62.14945825
D053,O044,3,97,4.67155745,721,0.432376139,0.324925408,0.144007894,0.205765142,0.742867678,148,74.28676783
D053,O039,3,97,4.67155745,48,0.232718262,0.17994217,0.033136716,0.009267723,0.784320075,1,78.43200746
D053,O002,3,97,4.67155745,71,0.386957289,0.33590604,0.423756547,0.22899681,1.030814136,16,103.0814136
D053,O040,3,97,4.67155745,585,0.392959459,0.39457393,0.498815231,0.051359523,0.847757244,30,84.77572444
D053,O094,3,97,4.67155745,888,0.302089761,0.091469055,0.358945917,0.217188865,0.915650339,193,91.56503387
D053,O081,3,97,4.67155745,229,0.311863322,0.040757227,0.190953924,0.027397346,0.52059127,6,52.05912701
D053,O049,3,97,4.67155745,33,0.068127718,0.327197905,0.351458552,0.169586651,0.638016666,6,63.80166664
D053,O052,3,97,4.67155745,249,0.293109713,0.381495942,0.29384703,0.118940555,0.500330142,30,50.03301419
D053,O008,3,97,4.67155745,217,0.118365868,0.010264005,0.438577644,0.018412668,0.70421183,4,70.42118302
D053,O054,3,97,4.67155745,70,0.483939677,0.225369653,0.039302168,0.158400508,0.574845385,11,57.48453845
D053,O024,3,97,4.67155745,109,0.107543079,0.370185632,0.33107989,0.015416181,0.763088384,2,76.30883835
D053,O096,3,97,4.67155745,91,0.16170145,0.264353919,0.069555674,0.222330663,0.545005585,20,54.50055846
D053,O011,3,97,4.67155745,163,0.257766277,0.230369452,0.067376828,0.147107797,1.041013094,24,104.1013094
D053,O007,3,97,4.67155745,20,0.141130372,0.138764594,0.166622366,0.108042943,0.974703346,2,97.47033455
D053,O005,3,97,4.67155745,472,0.458927508,0.08115278,0.018055532,0.016407342,0.751825682,8,75.18256816
D053,O051,3,97,4.67155745,264,0.415458501,0.161179135,0.311726789,0.044329636,0.922834621,12,92.28346214
D053,O035,3,97,4.67155745,173,0.041159595,0.256897351,0.341435098,0.128323963,0.936656262,22,93.66562622
D053,O061,3,97,4.67155745,27,0.381805437,0.01616482,0.491613692,0.151708312,0.675221612,4,67.52216124
D053,O041,3,97,4.67155745,49,0.297735298,0.268205888,0.212580592,0.135363461,0.765018393,7,76.50183927
D053,O063,3,97,4.67155745,159,0.167777479,0.069957712,0.130372357,0.236705609,0.943907134,38,94.39071338
D053,O019,3,97,4.67155745,24,0.431629638,0.254066717,0.253740338,0.035040597,0.934568431,1,93.45684308
D053,O012,3,97,4.67155745,121,0.018977159,0.042108472,0.106166432,0.054886754,0.634587855,7,63.4587855
D053,O043,3,97,4.67155745,936,0.154267686,0.332919895,0.389161836,0.22532924,0.694797352,211,69.47973518
D053,O020,3,97,4.67155745,113,0.348269976,0.095285863,0.409466489,0.246401698,0.990902637,28,99.09026365
D053,O038,3,97,4.67155745,765,0.137328547,0.153890662,0.395745604,0.095819021,0.824092212,73,82.40922118
D053,O010,3,97,4.67155745,78,0.42428609,0.04657399,0.47291634,0.075109181,0.886241643,6,88.62416428
D053,O053,3,97,4.67155745,251,0.008437374,0.219704544,0.077608614,0.043406153,0.857828126,11,85.7828126
D053,O032,3,97,4.67155745,449,0.47407037,0.293964396,0.333868972,0.192141286,0.526716923,86,52.67169234
D053,O083,3,97,4.67155745,89,0.002629244,0.11891721,0.012340148,0.1423155,0.799263288,13,79.92632877
D053,O050,3,97,4.67155745,322,0.206052109,0.123509785,0.230258857,0.242031683,0.710466564,78,71.04665639
D053,O084,3,97,4.67155745,797,0.372992677,0.000386491,0.00152113,0.212119634,0.993396916,169,99.33969159
D053,O027,3,97,4.67155745,120,0.173792118,0.275390581,0.115990185,0.003126054,0.594400816,1,59.44008158
D053,O023,3,97,4.67155745,410,0.214451437,0.12789836,0.094002538,0.083652687,0.876090399,34,87.60903986
D053,O047,3,97,4.67155745,32,0.457593053,0.357426009,0.365235909,0.123974314,0.729886159,4,72.98861593
D053,O067,3,97,4.67155745,60,0.359928689,0.02076874,0.174232425,0.096510536,0.648987034,6,64.89870338
D053,O074,3,97,4.67155745,36,0.042568944,0.004280635,0.087293441,0.071484542,0.86728622,3,86.728622
D053,O092,3,97,4.67155745,303,0.442706311,0.172267227,0.436491903,0.175667954,0.897895329,53,89.78953292
D053,O045,3,97,4.67155745,692,0.331104768,0.086465045,0.220042135,0.085965716,0.679206917,59,67.92069167
D053,O093,3,97,4.67155745,25,0.276275035,0.078153424,0.291384582,0.041239401,0.958605081,1,95.8605081
D053,O055,3,97,4.67155745,143,0.09821222,0.163666817,0.285033773,0.115819652,0.601558378,17,60.15583779
D083,O006,1,318,0.283282758,26,0.466438896,0.19990199,0.36047691,0.196321869,0.537345538,5,53.73455384
D083,O071,1,318,0.283282758,830,0.025772238,0.059916076,0.006124037,0.001567019,0.854259133,1,85.42591325
D083,O014,1,318,0.283282758,505,0.055050564,0.385744929,0.323573274,0.249191993,0.956197221,126,95.61972212
D083,O017,1,318,0.283282758,47,0.235947901,0.205558573,0.450421949,0.031413737,0.98550411,1,98.55041102
D083,O086,1,318,0.283282758,135,0.469888219,0.056365997,0.043821459,0.204201288,0.952586866,28,95.25868662
D083,O068,1,318,0.283282758,871,0.148525779,0.2389906,0.43126666,0.024847913,0.56330551,22,56.33055097
D083,O088,1,318,0.283282758,74,0.028069089,0.054085246,0.202673962,0.187139916,0.619616712,14,61.96167125
D083,O004,1,318,0.283282758,544,0.015441285,0.39993713,0.047767101,0.021638756,0.621494583,12,62.14945825
D083,O044,1,318,0.283282758,721,0.432376139,0.324925408,0.144007894,0.205765142,0.742867678,148,74.28676783
D083,O039,1,318,0.283282758,48,0.232718262,0.17994217,0.033136716,0.009267723,0.784320075,1,78.43200746
D083,O002,1,318,0.283282758,71,0.386957289,0.33590604,0.423756547,0.22899681,1.030814136,16,103.0814136
D083,O040,1,318,0.283282758,585,0.392959459,0.39457393,0.498815231,0.051359523,0.847757244,30,84.77572444
D083,O094,1,318,0.283282758,888,0.302089761,0.091469055,0.358945917,0.217188865,0.915650339,193,91.56503387
D083,O081,1,318,0.283282758,229,0.311863322,0.040757227,0.190953924,0.027397346,0.52059127,6,52.05912701
D083,O049,1,318,0.283282758,33,0.068127718,0.327197905,0.351458552,0.169586651,0.638016666,6,63.80166664
D083,O052,1,318,0.283282758,249,0.293109713,0.381495942,0.29384703,0.118940555,0.500330142,30,50.03301419
D083,O008,1,318,0.283282758,217,0.118365868,0.010264005,0.438577644,0.018412668,0.70421183,4,70.42118302
D083,O054,1,318,0.283282758,70,0.483939677,0.225369653,0.039302168,0.158400508,0.574845385,11,57.48453845
D083,O024,1,318,0.283282758,109,0.107543079,0.370185632,0.33107989,0.015416181,0.763088384,2,76.30883835
D083,O096,1,318,0.283282758,91,0.16170145,0.264353919,0.069555674,0.222330663,0.545005585,20,54.50055846
D083,O011,1,318,0.283282758,163,0.257766277,0.230369452,0.067376828,0.147107797,1.041013094,24,104.1013094
D083,O007,1,318,0.283282758,20,0.141130372,0.138764594,0.166622366,0.108042943,0.974703346,2,97.47033455
D083,O005,1,318,0.283282758,472,0.458927508,0.08115278,0.018055532,0.016407342,0.751825682,8,75.18256816
D083,O051,1,318,0.283282758,264,0.415458501,0.161179135,0.311726789,0.044329636,0.922834621,12,92.28346214
D083,O035,1,318,0.283282758,173,0.041159595,0.256897351,0.341435098,0.128323963,0.936656262,22,93.66562622
D083,O061,1,318,0.283282758,27,0.381805437,0.01616482,0.491613692,0.151708312,0.675221612,4,67.52216124
D083,O041,1,318,0.283282758,49,0.297735298,0.268205888,0.212580592,0.135363461,0.765018393,7,76.50183927
